Title,Transaction Date,Acquired_Disposed,Amount,Price
AMAZON COM INC,02/21/2024,A,60,N/A
AMAZON COM INC,02/21/2024,D,"3,100",$168.97
AMAZON COM INC,,,,
"Common Stock, par value $.01  per share",,D,134545,0
"Common Stock, par value $.01  per share",,D,474857,0
"Common Stock, par value $.01  per share",,D,1000,210.68
"Common Stock, par value $.01  per share",,D,2500,190.67
"Common Stock, par value $.01  per share",,D,2500,187.99
"Common Stock, par value $.01  per share",,D,2500,213.17
"Common Stock, par value $.01  per share",,D,239843,0
"Common Stock, par value $.01  per share",,D,56339,0
"Common Stock, par value $.01  per share",,A,20000,0
"Common Stock, par value $.01  per share",,A,31960,0
"Common Stock, par value $.01  per share",,D,5764,219.0963
"Common Stock, par value $.01  per share",,D,3652,219.9148
"Common Stock, par value $.01  per share",,D,5711,220.9195
"Common Stock, par value $.01  per share",,D,3200,222.0959
"Common Stock, par value $.01  per share",,D,2457,222.8847
"Common Stock, par value $.01  per share",,A,12660,0
"Common Stock, par value $.01  per share",,A,2600,0
"Common Stock, par value $.01  per share",,D,1704,221.5184
"Common Stock, par value $.01  per share",,D,1600,222.31
"Common Stock, par value $.01  per share",,D,2800,223.1443
"Common Stock, par value $.01  per share",,A,11380,0
"Common Stock, par value $.01  per share",,A,3240,0
"Common Stock, par value $.01  per share",,D,14620,223.14
"Common Stock, par value $.01  per share",,A,11380,0
"Common Stock, par value $.01  per share",,A,3240,0
"Common Stock, par value $.01  per share",,D,1172,218.9888
"Common Stock, par value $.01  per share",,D,1140,219.8217
"Common Stock, par value $.01  per share",,D,1688,220.8176
"Common Stock, par value $.01  per share",,D,1614,222.145
"Common Stock, par value $.01  per share",,D,234,223.1642
"Common Stock, par value $.01  per share",,D,19212,217.50
"Common Stock, par value $.01  per share",,A,2360,0
"Common Stock, par value $.01  per share",,A,340,0
"Common Stock, par value $.01  per share",,A,2771,0
"Common Stock, par value $.01  per share",,D,1933,221.4221
"Common Stock, par value $.01  per share",,D,2900,222.2497
"Common Stock, par value $.01  per share",,D,4000,223.1435
"Common Stock, par value $.01  per share",,D,3637,219.046
"Common Stock, par value $.01  per share",,D,2951,219.8145
"Common Stock, par value $.01  per share",,D,4188,220.9106
"Common Stock, par value $.01  per share",,D,2425,222.0623
"Common Stock, par value $.01  per share",,D,2039,222.7926
"Common Stock, par value $.01  per share",,A,13752,0
"Common Stock, par value $.01  per share",,D,4301,228.3178
"Common Stock, par value $.01  per share",,D,1200,228.8975
"Common Stock, par value $.01  per share",,A,2677,0
"Common Stock, par value $.01  per share",,D,51750,0
"Common Stock, par value $.01  per share",,A,1900,0
"Common Stock, par value $.01  per share",,D,599,228.7398
"Common Stock, par value $.01  per share",,D,26501,230.2962
"Common Stock, par value $.01  per share",,D,400,230.6825
"Common Stock, par value $.01  per share",,D,4351,229.85
"Common Stock, par value $.01  per share",,D,4549,219.85
"Common Stock, par value $.01  per share",,D,3500,210
"Common Stock, par value $.01  per share",,A,20000,0
"Common Stock, par value $.01  per share",,A,31960,0
"Common Stock, par value $.01  per share",,D,622,196.455
"Common Stock, par value $.01  per share",,D,1127,197.4142
"Common Stock, par value $.01  per share",,D,3352,198.4933
"Common Stock, par value $.01  per share",,D,1182,199.7573
"Common Stock, par value $.01  per share",,D,9252,200.6198
"Common Stock, par value $.01  per share",,D,4149,201.2717
"Common Stock, par value $.01  per share",,D,1100,202.7445
"Common Stock, par value $.01  per share",,A,12660,0
"Common Stock, par value $.01  per share",,A,2600,0
"Common Stock, par value $.01  per share",,D,1511,198.687
"Common Stock, par value $.01  per share",,D,890,199.8397
"Common Stock, par value $.01  per share",,D,3077,200.7201
"Common Stock, par value $.01  per share",,D,526,201.5578
"Common Stock, par value $.01  per share",,D,100,202.80
"Common Stock, par value $.01  per share",,A,11360,0
"Common Stock, par value $.01  per share",,A,3240,0
"Common Stock, par value $.01  per share",,D,14600,202.88
"Common Stock, par value $.01  per share",,A,11360,0
"Common Stock, par value $.01  per share",,A,3240,0
"Common Stock, par value $.01  per share",,D,121,196.4583
"Common Stock, par value $.01  per share",,D,945,197.5193
"Common Stock, par value $.01  per share",,D,1716,198.5841
"Common Stock, par value $.01  per share",,D,727,199.7196
"Common Stock, par value $.01  per share",,D,5075,200.6163
"Common Stock, par value $.01  per share",,D,2346,201.2371
"Common Stock, par value $.01  per share",,D,550,202.5915
"Common Stock, par value $.01  per share",,D,200,203.06
"Common Stock, par value $.01  per share",,A,2360,0
"Common Stock, par value $.01  per share",,A,340,0
"Common Stock, par value $.01  per share",,A,2772,0
"Common Stock, par value $.01  per share",,D,664,198.7358
"Common Stock, par value $.01  per share",,D,268,198.7358
"Common Stock, par value $.01  per share",,D,855,200.20
"Common Stock, par value $.01  per share",,D,345,200.20
